Strata,BETA,SEBeta,RR,Low95%CI,Upper95%CI,BETA,SEBeta,RR,Low95%CI,Upper95%CI,BETA,SEBeta,RR,Low95%CI,Upper95%CI,BETA,SEBeta,RR,Low95%CI,Upper95%CI
Female,0.00813,0.005417,1.008163138,0.997515771,1.018924,0.033205,0.045316,1.003326019,0.994454,1.012277,0.004008,0.000646,1.052641164,1.035718669,1.069840,0.001088,0.000671,1.007097066,0.99852455,1.015743
Male,0.016777,0.004864,1.016918524,1.007269858,1.026660,0.066778,0.040953,1.006700146,0.998651921,1.014813,0.002806,0.000587,1.0365696,1.021416249,1.051948,0.002101,0.000601,1.013750176,1.006017795,1.021542
Warm All,0.010297,0.004812,1.010350197,1.000865855,1.019924,0.086388,0.039926,1.008676222,1.000813635,1.016601,0.001543,0.000629,1.01994673,1.003977939,1.036170,0.002188,0.000603,1.014323614,1.006561211,1.022146
Warm Female,0.005951,0.005332,1.005968742,0.995510389,1.016537,0.067253,0.044135,1.006747966,0.998076692,1.015495,0.002303,0.000695,1.029917189,1.01211504,1.048032,0.001708,0.00067,1.011163856,1.002569496,1.019832
Warm Male,0.014433,0.005032,1.014537659,1.00458074,1.024593,0.104871,0.041855,1.010542282,1.002286129,1.018866,0.000819,0.00066,1.010538341,0.993943535,1.027410,0.002641,0.000629,1.017314691,1.009195057,1.025500
Cold All,0.013869,0.006096,1.013965621,1.001922686,1.026153,-0.0278,0.051386,0.997223861,0.987230574,1.007318,0.005631,0.000628,1.074737881,1.057937794,1.091805,0.000182,0.000747,1.0011837,0.99170085,1.010757
Cold Female,0.00701,0.006912,1.007034628,0.993483803,1.020770,-0.049131,0.058103,0.99509895,0.983830859,1.006496,0.005971,0.000711,1.079425333,1.060341718,1.098852,-0.000779,0.000845,0.994949298,0.984295817,1.005718
Cold Male,0.02066,0.006137,1.020874895,1.008668839,1.033229,-0.006205,0.051906,0.999379692,0.989263971,1.009599,0.005287,0.000635,1.070015998,1.053104765,1.087199,0.001143,0.000753,1.007457167,0.997838619,1.017168
Age 0-10 All,0.02434,0.006456,1.024638636,1.011754791,1.037687,0.061702,0.053095,1.006189275,0.995772541,1.016715,0.004131,0.000785,1.054299747,1.033739407,1.075269,0.003045,0.000789,1.01998967,1.009788234,1.030294
Age 0-10 Female,0.026191,0.008111,1.026536998,1.0103466,1.042987,0.066061,0.066254,1.006627968,0.993640623,1.019785,0.004954,0.00098,1.065464868,1.039588498,1.091985,0.003491,0.000988,1.022950911,1.010155602,1.035908
Age 0-10 Male,0.02309,0.007069,1.023358638,1.009277532,1.037636,0.059599,0.058376,1.005977696,0.994533202,1.017554,0.003557,0.000864,1.046581983,1.02414034,1.069515,0.002745,0.000866,1.018002628,1.006832898,1.029296
Age 11-60 All,0.007755,0.005316,1.007785148,0.997339186,1.018341,0.043354,0.045027,1.004344811,0.995520172,1.013248,0.003018,0.000636,1.039386255,1.022933451,1.056104,0.001155,0.000661,1.007535752,0.999086777,1.016056
Age 11-60 Female,0.002625,0.006182,1.002628448,0.990553184,1.014851,0.021133,0.052215,1.002115535,0.991912045,1.012424,0.003776,0.000738,1.049519877,1.03026686,1.069133,0.000394,0.00077,1.002564282,0.992777409,1.012448
Age 11-60 Male,0.013276,0.005844,1.013364517,1.00182342,1.025039,0.067517,0.049672,1.006774544,0.997020436,1.016624,0.002197,0.000702,1.028520745,1.010565246,1.046795,0.001968,0.000725,1.012874168,1.003561828,1.022273
Age 60+All,0.009849,0.00582,1.009897661,0.998443013,1.021484,0.052024,0.048947,1.005215956,0.995618415,1.014906,0.00343,0.000696,1.044882041,1.026795464,1.063287,0.000968,0.000723,1.006311836,0.997085236,1.015624
Age 60+ Female,0.004523,0.007332,1.004533244,0.99020061,1.019073,0.029946,0.061381,1.002999088,0.991004627,1.015139,0.003697,0.000875,1.048459139,1.025694147,1.071729,0.000483,0.00091,1.003144433,0.991581734,1.014842
Age 60+ Male,0.015763,0.006947,1.015887891,1.002149186,1.029815,0.077219,0.058732,1.007751791,0.996217599,1.019420,0.003128,0.000835,1.040850742,1.019273298,1.062885,0.001504,0.000863,1.009823941,0.998782122,1.020988
All: LAG 3,0.017444,0.004714,1.017597035,1.00823831,1.027043,0.103902,0.039446,1.010444366,1.002662322,1.018287,0.00255,0.000569,1.033178528,1.0185346,1.048033,0.002051,0.000581,1.013420761,1.005947175,1.020950
Female,0.015025,0.005417,1.015138443,1.004417408,1.025974,0.071763,0.045247,1.007202111,0.998309319,1.016174,0.003187,0.000649,1.041637089,1.024814364,1.058736,0.001907,0.000667,1.012472643,1.003905527,1.021113
Male,0.019764,0.004872,1.019960601,1.01026723,1.029747,0.135097,0.040836,1.013601368,1.005521029,1.021747,0.001928,0.000591,1.024985432,1.009900077,1.040296,0.002189,0.000601,1.014330207,1.006593401,1.022126
Warm All,0.013657,0.004838,1.013750683,1.004183245,1.023409,0.131846,0.039826,1.0132719,1.005393195,1.021212,0.00043,0.000636,1.005519175,0.989602464,1.021692,0.002251,0.000603,1.014739064,1.006973482,1.022565
Warm Female,0.013545,0.005346,1.013637149,1.003071548,1.024314,0.114427,0.04397,1.011508418,1.002828573,1.020263,0.000902,0.000702,1.011612508,0.993952186,1.029587,0.002459,0.000665,1.016111919,1.007539681,1.024757
Warm Male,0.013769,0.005071,1.013864229,1.003837183,1.023991,0.148538,0.041789,1.014964666,1.006685404,1.023312,-0.000023,0.000668,0.999705643,0.983091399,1.016601,0.002056,0.000632,1.013453697,1.005326455,1.021647
Cold All,0.019277,0.006033,1.019464001,1.007480158,1.031590,0.044996,0.051225,1.004509738,0.99447482,1.014646,0.004873,0.000625,1.064360767,1.047801752,1.081181,0.000977,0.00074,1.006370707,0.996927629,1.015903
Cold Female,0.010671,0.006859,1.010728138,0.9972312,1.024408,-0.023209,0.05807,0.997681791,0.986390834,1.009102,0.005616,0.000707,1.074531551,1.055640386,1.093761,-0.000075,0.00084,0.999512619,0.988873265,1.010266
Cold Male,0.027752,0.006072,1.028140674,1.015977172,1.040450,0.112849,0.051699,1.011348815,1.00115256,1.021649,0.004131,0.000635,1.054299747,1.037636904,1.071230,0.00202,0.000746,1.013216577,1.003632542,1.022892
Age 0-10 All,0.033105,0.006448,1.033659068,1.020677804,1.046805,0.147852,0.052886,1.014895042,1.004429325,1.025470,0.002702,0.000789,1.035190637,1.014901099,1.055886,0.003913,0.000784,1.025760717,1.015566251,1.036058
Age 0-10 Female,0.039478,0.008097,1.040267613,1.023888752,1.056908,0.181615,0.065959,1.018327423,1.005247255,1.031578,0.003413,0.000984,1.0446547,1.019181453,1.070765,0.004924,0.00098,1.0325237,1.019712577,1.045496
Age 0-10 Male,0.028796,0.007073,1.029214613,1.015044973,1.043582,0.125483,0.058227,1.01262736,1.001136453,1.024250,0.002203,0.000869,1.028599738,1.006417432,1.051271,0.00322,0.000864,1.021150569,1.009972033,1.032453
Age 11-60 All,0.010599,0.005327,1.010655368,1.000158092,1.021263,0.09496,0.04492,1.00954123,1.000691919,1.018469,0.002213,0.00064,1.028731408,1.012345666,1.045382,0.001181,0.00066,1.00770604,0.999268368,1.016215
Age 11-60 Female,0.008366,0.006189,1.008401093,0.996242637,1.020708,0.055158,0.052143,1.00553104,0.99530682,1.015860,0.003066,0.00074,1.040025051,1.020894986,1.059514,0.001037,0.000767,1.006763268,0.996973509,1.016649
Age 11-60 Male,0.012994,0.005863,1.013078789,1.001503649,1.024788,0.138129,0.04949,1.013908739,1.004121329,1.023792,0.001279,0.000708,1.016505942,0.998609863,1.034723,0.001334,0.000726,1.008708702,0.999421927,1.018082
Age 60+All,0.014894,0.005823,1.015005468,1.003486985,1.026656,0.071155,0.048998,1.007140875,0.997514985,1.016860,0.003109,0.000699,1.040597638,1.022508261,1.059007,0.001837,0.00072,1.012012072,1.002771534,1.021338
Age 60+ Female,0.008334,0.007334,1.008368824,0.993977568,1.022968,0.006853,0.061441,1.000685535,0.988707113,1.012809,0.003225,0.000878,1.042143865,1.019439265,1.065354,0.001128,0.000907,1.007358945,0.995785725,1.019067
Age 60+ Male,0.02215,0.006949,1.022397133,1.008566444,1.036417,0.143165,0.058732,1.014419472,1.002808966,1.026164,0.002987,0.000838,1.038973909,1.017358799,1.061048,0.002625,0.00086,1.017208896,1.00612478,1.028415
All: LAG 4,0.018217,0.004724,1.018383942,1.008998203,1.027857,0.09681,0.039381,1.009728012,1.001964251,1.017552,0.001935,0.000571,1.025077275,1.010497468,1.039867,0.002473,0.000578,1.01620439,1.008748829,1.023715
Female,0.015958,0.005428,1.016086009,1.005333292,1.026954,0.075792,0.045149,1.007607995,0.998730802,1.016564,0.002342,0.000652,1.030431452,1.013713402,1.047425,0.002321,0.000664,1.015200876,1.006649148,1.023825
Male,0.020379,0.004886,1.02058807,1.010860997,1.030409,0.117186,0.040805,1.011787532,1.003727751,1.019912,0.001538,0.000594,1.019881455,1.00479559,1.035194,0.002619,0.000597,1.017169226,1.009462206,1.024935
Warm All,0.013405,0.004866,1.01349525,1.003875129,1.023208,0.111794,0.039815,1.011242123,1.003381364,1.019164,0.000064,0.000642,1.000819536,0.984828962,1.017070,0.002584,0.000599,1.016937846,1.009206865,1.024728
Warm Female,0.01316,0.005379,1.013246974,1.002620588,1.023986,0.101639,0.043927,1.010215728,1.001555416,1.018951,0.000492,0.000708,1.006317472,0.988600765,1.024352,0.002707,0.000663,1.017751213,1.009190859,1.026384
Warm Male,0.013639,0.005098,1.013732435,1.003653578,1.023913,0.121477,0.041803,1.012221783,1.003962141,1.020549,-0.000346,0.000674,0.995580993,0.978887935,1.012559,0.00247,0.000628,1.016184574,1.008086803,1.024347
Cold All,0.021772,0.006028,1.022010739,1.010006857,1.034157,0.070043,0.05117,1.007028887,0.996979551,1.017180,0.003878,0.000626,1.050891025,1.034515615,1.067526,0.001636,0.000739,1.010690742,1.001219883,1.020251
Cold Female,0.014775,0.006851,1.01488469,1.001347948,1.028604,0.025446,0.058055,1.00254784,0.991204727,1.014021,0.004217,0.000708,1.05546096,1.036879058,1.074376,0.000881,0.000839,1.005742928,0.995049932,1.016551
Cold Male,0.028688,0.006074,1.029103464,1.016924585,1.041428,0.114438,0.051644,1.011509531,1.00132245,1.021800,0.003538,0.000634,1.046327485,1.029816476,1.063103,0.00239,0.000746,1.015656295,1.006049183,1.025355
Age 0-10 All,0.026786,0.006464,1.02714797,1.014216669,1.040244,0.091775,0.052834,1.009219742,0.99882273,1.019725,0.001579,0.000792,1.020416829,1.000341562,1.040895,0.003929,0.000777,1.025867401,1.015762457,1.036073
Age 0-10 Female,0.021667,0.008152,1.021903434,1.005705294,1.038362,0.071355,0.066061,1.007161018,0.994204404,1.020286,0.001849,0.000989,1.023949491,0.998855823,1.049674,0.003743,0.000979,1.024627877,1.011927613,1.037488
Age 0-10 Male,0.030175,0.007077,1.030634879,1.016437717,1.045030,0.106,0.058138,1.010656379,0.999205268,1.022239,0.001389,0.000872,1.017938191,0.995910847,1.040453,0.004052,0.000852,1.02668791,1.015604011,1.037893
Age 11-60 All,0.014569,0.005342,1.014675645,1.004107091,1.025355,0.099194,0.044822,1.00996876,1.001134932,1.018881,0.001537,0.000643,1.019868401,1.003548296,1.036454,0.002151,0.000656,1.014079698,1.005639905,1.022590
Age 11-60 Female,0.013203,0.006204,1.013290544,1.001043704,1.025687,0.075404,0.051984,1.0075689,0.99735504,1.017887,0.001744,0.000745,1.022574227,1.003639246,1.041866,0.001955,0.000763,1.012788583,1.002991345,1.022682
Age 11-60 Male,0.016024,0.005884,1.016153073,1.004501461,1.027940,0.125004,0.04945,1.012578857,1.002812147,1.022441,0.00131,0.00071,1.016909372,0.998956065,1.035185,0.002363,0.000723,1.015478063,1.006167421,1.024875
Age 60+All,0.016725,0.005842,1.016865646,1.005288616,1.028576,0.097673,0.04903,1.009815156,1.000157432,1.019566,0.003182,0.000701,1.041570427,1.023412787,1.060050,0.00151,0.000721,1.009863325,1.000629658,1.019182
Age 60+ Female,0.016991,0.007351,1.017136168,1.002586379,1.031897,0.080385,0.061521,1.008070895,0.995988452,1.020300,0.004037,0.000879,1.053031977,1.030064321,1.076512,0.001864,0.000906,1.012189696,1.000573725,1.023941
Age 60+ Male,0.016442,0.006982,1.016577914,1.002761085,1.030585,0.116642,0.058748,1.011732492,1.000149603,1.023450,0.00223,0.000843,1.028955284,1.007422225,1.050949,0.001118,0.000863,1.007293469,0.996279319,1.018429
All: LAG 5,0.013534,0.004721,1.013625999,1.004290016,1.023049,0.082794,0.039399,1.008313769,1.000557351,1.016130,0.001344,0.000572,1.017352027,1.002856937,1.032057,0.002095,0.000575,1.01371064,1.006311836,1.021164
Female,0.013847,0.005426,1.013943314,1.003217204,1.024784,0.081617,0.045128,1.008195097,0.999316845,1.017152,0.001212,0.000655,1.015634561,0.999081382,1.032462,0.002274,0.000661,1.014890779,1.006380127,1.023473
Male,0.013211,0.00488,1.013298651,1.003652855,1.023037,0.083799,0.04086,1.00841511,1.000371409,1.016523,0.001474,0.000593,1.01904631,1.003997987,1.034320,0.001923,0.000595,1.012577945,1.004931319,1.020283
Warm All,0.008646,0.004878,1.008683485,0.999085538,1.018374,0.101701,0.039922,1.010221991,1.002348141,1.018158,-0.000249,0.000641,0.996817874,0.980915845,1.012978,0.002383,0.000598,1.015610084,1.007902038,1.023377
Warm Female,0.010068,0.005398,1.010118853,0.999488051,1.020863,0.088383,0.044047,1.008877473,1.000205109,1.017625,-0.00018,0.000707,0.997698652,0.980158274,1.015553,0.002632,0.000662,1.01725518,1.008711849,1.025871
Warm Male,0.007291,0.005102,1.007317644,0.997294746,1.017441,0.114351,0.041888,1.011500731,1.003230258,1.019839,-0.000315,0.000672,0.995976118,0.979325572,1.012910,0.002147,0.000625,1.014053333,1.006010994,1.022160
Cold All,0.0166,0.005964,1.016738546,1.004922637,1.028693,0.05425,0.050938,1.005439742,0.995451528,1.015528,0.002993,0.000628,1.039053705,1.022811426,1.055554,0.000953,0.000731,1.006213726,0.996886417,1.015628
Cold Female,0.013986,0.006776,1.014084262,1.000705289,1.027642,0.078545,0.057679,1.007885428,0.996555362,1.019344,0.002551,0.000713,1.033191753,1.014874598,1.051840,0.000947,0.000829,1.006174484,0.995603732,1.016857
Cold Male,0.019159,0.006018,1.019343711,1.007390899,1.031438,0.029807,0.051585,1.002985147,0.992895398,1.013177,0.003432,0.000635,1.044908791,1.028394368,1.061688,0.000959,0.000738,1.006252969,0.996836395,1.015758
Age 0-10 All,0.025202,0.006428,1.025522255,1.012682874,1.038524,0.147614,0.052588,1.014870888,1.004464086,1.025386,0.000371,0.00079,1.004760093,0.985042275,1.024873,0.003526,0.000771,1.023183658,1.013182594,1.033283
Age 0-10 Female,0.028155,0.008076,1.028555098,1.012402319,1.044966,0.166125,0.065567,1.016751255,1.003768451,1.029902,-0.000901,0.000987,0.988533448,0.964356098,1.013317,0.004402,0.000968,1.029026284,1.016413932,1.041795
Age 0-10 Male,0.023121,0.007069,1.023390362,1.00930882,1.037668,0.134383,0.058116,1.013529,1.002049662,1.025140,0.001255,0.000872,1.01619372,0.994204125,1.038670,0.002925,0.000849,1.019194388,1.008229921,1.030278
Age 11-60 All,0.009476,0.005337,1.009521039,0.999015964,1.020137,0.077392,0.044874,1.007769225,0.998944453,1.016672,0.001313,0.000644,1.016948422,1.000649939,1.033512,0.001883,0.000653,1.012314709,1.003927974,1.020772
Age 11-60 Female,0.009893,0.006208,1.009942097,0.997727905,1.022306,0.089309,0.051995,1.008970899,0.998740674,1.019306,0.001162,0.000748,1.014984762,0.996115341,1.034212,0.002025,0.000759,1.013249507,1.003498947,1.023095
Age 11-60 Male,0.008996,0.005867,1.009036586,0.997499811,1.020707,0.06418,0.049533,1.006438639,0.99671494,1.016257,0.001473,0.00071,1.019033267,1.001042463,1.037347,0.001728,0.000719,1.011295316,1.002074088,1.020601
Age 60+All,0.009397,0.005869,1.00944129,0.997895977,1.021120,0.017376,0.049276,1.001739111,0.992110788,1.011461,0.00248,0.000703,1.032253215,1.014207111,1.050620,0.000921,0.000721,1.006004455,0.996806071,1.015288
Age 60+ Female,0.009865,0.007388,1.00991382,0.995395155,1.024644,-0.01421,0.061772,0.998580009,0.986562784,1.010744,0.003123,0.000882,1.04078413,1.018006989,1.064071,0.000898,0.000907,1.005854068,0.994298138,1.017544
Age 60+ Male,0.008873,0.007009,1.008912482,0.995147173,1.022868,0.052361,0.059093,1.005249832,0.993673966,1.016961,0.001779,0.000843,1.023032443,1.001623332,1.044899,0.000945,0.000861,1.006161404,0.99518499,1.017259
All: LAG 6,0.009596,0.004694,1.009642189,1.000395838,1.018974,0.059122,0.039357,1.005929712,0.99819985,1.013719,0.0011,0.000571,1.01417959,0.999754782,1.028813,0.001308,0.000573,1.008538245,1.001202703,1.015928
Female,0.007001,0.005396,1.007025564,0.996431223,1.017733,0.04498,0.04509,1.004508131,0.995669763,1.013425,0.001041,0.000654,1.013413971,0.996921995,1.030179,0.001134,0.000659,1.007398233,0.998975865,1.015892
Male,0.012085,0.004854,1.012158319,1.002574468,1.021834,0.072902,0.040834,1.007316838,0.99928699,1.015411,0.001159,0.000593,1.014945788,0.999958017,1.030158,0.001475,0.000592,1.009633607,1.002047513,1.017277
Warm All,0.006365,0.004845,1.0063853,0.996873697,1.015988,0.072714,0.039913,1.007297901,0.999448604,1.015209,-0.000649,0.000637,0.991727209,0.97600433,1.007703,0.001898,0.000593,1.012413415,1.004793633,1.020091
Warm Female,0.003843,0.00536,1.003850394,0.993359546,1.014452,0.052828,0.043996,1.005296779,0.996665157,1.014003,-0.000672,0.000703,0.991435288,0.974102773,1.009076,0.001725,0.000658,1.011275596,1.002833587,1.019789
Warm Male,0.008767,0.005073,1.008805543,0.998824611,1.018886,0.091982,0.041941,1.009240633,1.000978242,1.017571,-0.000628,0.000669,0.991993822,0.975483267,1.008784,0.002062,0.00062,1.013493223,1.005519376,1.021530
Cold All,0.008842,0.00591,1.008881206,0.997262155,1.020636,0.039162,0.050749,1.003923878,0.993987544,1.013960,0.002843,0.000631,1.037060636,1.020772682,1.053608,-0.000602,0.000726,0.996094646,0.986924003,1.005351
Cold Female,0.005293,0.00672,1.005307033,0.992152752,1.018636,0.040065,0.057611,1.004014537,0.992741217,1.015416,0.002716,0.000716,1.03537616,1.016943736,1.054143,-0.000793,0.000824,0.994858762,0.9844696,1.005358
Cold Male,0.012293,0.005961,1.012368869,1.000609626,1.024266,0.037919,0.051278,1.003799098,0.993760956,1.013939,0.002974,0.000638,1.038801038,1.0223062,1.055562,-0.000418,0.000734,0.997286688,0.988004368,1.006656
Age 0-10 All,0.016961,0.006426,1.017105654,1.004375585,1.029997,0.096028,0.05253,1.009649055,0.99930716,1.020098,0.001054,0.000791,1.013582617,0.993666732,1.033898,0.002672,0.000772,1.017519701,1.007561162,1.027577
